PHONE_NUMBER,ACTIVATION_DATE,DEACTIVATION_DATE
976,1999-06-11,1999-07-11
354,1999-11-29,1999-11-30
498,1997-03-13,1997-04-02
323,1997-11-08,1997-12-08
558,1997-01-13,1997-02-01
612,2000-06-12,2000-06-24
506,1996-03-20,1996-04-06
611,2000-07-03,2000-07-30
164,1998-03-30,1998-04-01
636,1996-05-30,1996-06-07
371,1998-01-21,1998-02-17
33,1997-03-22,1997-04-16
172,1998-10-25,1998-11-24
475,1997-01-12,1997-02-04
670,2000-01-29,2017-12-28
563,1995-10-09,1995-10-11
963,1999-07-01,1999-07-14
470,1996-08-03,1996-08-10
484,1996-05-29,1996-06-08
513,1997-09-29,1997-10-29
841,2000-01-10,2000-01-28
741,1998-04-05,1998-05-02
500,1998-04-15,1998-04-27
296,1999-09-23,1999-10-13
75,1999-10-20,1999-11-12
834,1999-06-22,1999-07-19
696,1999-08-29,1999-09-25
906,1999-06-19,1999-06-27
732,1995-08-21,1995-09-17
191,1996-02-19,1996-03-04
606,1998-07-31,1998-08-30
418,1996-04-05,1996-04-12
69,1998-08-05,1998-08-29
798,1997-04-02,1997-04-06
29,1995-08-12,1995-09-03
725,1997-12-12,1997-12-14
44,1997-02-08,1997-02-09
34,1997-07-18,1997-08-11
296,1998-06-01,1998-06-15
252,1997-06-18,1997-06-28
569,2000-05-04,2000-05-10
250,1999-12-11,1999-12-24
775,1998-08-21,1998-09-20
659,1999-09-06,1999-09-07
686,1999-05-05,1999-05-16
933,1999-08-06,1999-08-21
861,1996-06-04,1996-06-23
898,1997-09-25,1997-10-04
379,1999-04-11,1999-04-19
720,1999-02-18,1999-03-16
473,1999-05-18,1999-05-20
929,1998-11-10,1998-11-22
906,1999-06-07,1999-06-19
120,1997-12-07,1997-12-22
443,1998-06-27,1998-07-24
133,1997-07-20,1997-07-30
959,1998-09-23,1998-10-11
264,1997-10-05,1997-11-01
540,1995-08-04,1995-09-02
462,2000-01-21,2000-01-25
842,1998-11-20,1998-11-30
911,1996-05-22,1996-06-11
840,1997-02-04,1997-02-19
239,1998-09-28,1998-10-23
396,1999-05-12,1999-06-11
534,1999-04-20,1999-05-05
96,1999-06-20,1999-07-06
19,1997-02-03,1997-02-27
214,1996-12-04,1996-12-22
501,1996-10-19,1996-10-20
933,1999-11-13,1999-11-17
722,1996-05-19,1996-06-03
693,1999-06-19,1999-06-22
937,1999-09-24,1999-10-19
240,1999-07-08,1999-08-03
226,1997-08-21,1997-08-29
149,1995-10-06,1995-10-25
879,1998-05-09,1998-06-07
346,1995-11-23,1995-12-08
956,1996-05-17,1996-06-16
39,2000-03-13,2000-04-05
901,1998-12-11,1998-12-17
499,1998-06-11,1998-06-16
350,1999-07-21,1999-07-29
259,1998-10-03,1998-10-20
801,1996-05-18,1996-06-02
745,1999-08-17,1999-09-11
726,2000-02-21,2000-02-26
540,1998-11-03,1998-12-02
106,1996-04-22,1996-05-11
313,1996-06-03,1996-06-05
560,1999-11-01,1999-11-17
88,1997-05-18,1997-05-19
119,2000-02-21,2017-12-29
151,2000-08-01,2000-08-09
535,1997-07-11,1997-07-16
441,2000-02-26,2000-03-09
298,1995-09-29,1995-10-01
507,1997-02-21,1997-03-19
131,1998-09-20,1998-10-15
732,1995-09-26,1995-10-20
994,1996-11-25,1996-12-12
184,1996-05-27,1996-06-24
374,1998-08-09,1998-09-06
589,1997-03-18,1997-03-20
516,1999-06-24,1999-06-26
157,1997-04-07,1997-04-29
16,1998-08-25,1998-08-29
213,2000-08-19,2000-09-03
910,2000-03-22,2000-03-27
554,1998-11-04,1998-11-20
438,1999-11-08,1999-12-04
844,2000-01-22,2000-01-26
156,1996-08-05,1996-08-08
841,1998-10-25,1998-11-02
283,1996-10-26,1996-10-27
641,1996-07-04,1996-07-21
659,1995-12-19,1996-01-15
664,1999-05-09,1999-06-02
238,1998-06-19,1998-07-08
951,1998-05-04,1998-06-03
1000,1997-10-04,1997-10-23
638,1997-06-08,1997-06-29
951,1999-01-01,1999-01-30
329,1999-11-22,1999-11-26
688,2000-04-13,2000-04-23
280,1999-02-16,1999-03-13
425,1999-07-13,1999-08-06
546,1998-09-27,1998-10-05
788,1998-01-23,1998-01-26
742,1995-09-21,1995-10-18
709,1999-01-04,1999-01-12
509,1997-08-12,1997-08-23
255,1996-07-15,1996-08-02
330,1999-10-22,1999-11-08
905,1999-05-13,1999-05-16
487,2000-04-08,2017-12-28
405,1998-05-11,1998-05-24
77,1996-10-04,1996-10-13
652,1999-05-01,1999-05-03
50,1997-10-23,1997-10-27
458,1997-09-10,1997-09-13
354,1996-12-21,1996-12-25
3,1997-11-24,1997-12-23
191,1999-02-11,1999-02-28
607,1999-07-16,1999-07-28
902,1996-08-21,1996-09-04
468,1995-09-18,1995-09-27
100,1996-03-08,1996-03-14
972,1996-10-09,1996-11-02
613,1998-03-19,1998-03-27
807,1996-09-26,1996-10-12
657,1999-06-21,1999-07-03
708,1997-03-05,1997-03-09
982,1998-12-11,1998-12-25
319,1999-01-27,1999-02-05
340,1998-01-11,1998-01-22
733,1998-06-24,1998-07-03
189,1996-01-30,1996-02-25
704,1995-09-17,1995-09-24
90,1998-04-18,1998-04-30
627,1998-02-25,1998-02-27
562,1998-05-05,1998-05-07
293,1995-07-25,1995-08-22
635,2000-08-05,2017-12-30
331,1998-09-21,1998-10-17
70,1996-04-10,1996-04-23
699,2000-01-02,2000-01-15
121,2000-04-20,2000-04-22
466,1998-11-04,1998-11-12
575,1998-07-28,1998-08-20
723,1997-03-09,1997-04-03
944,1998-05-02,1998-05-28
226,1997-06-17,1997-06-25
233,1998-07-04,1998-07-27
441,1997-11-01,1997-11-20
852,1996-10-14,1996-10-18
200,1996-11-23,1996-12-04
265,1999-05-11,1999-06-08
421,1999-07-24,1999-08-11
978,1999-12-12,2000-01-02
78,1998-05-26,1998-05-31
248,1997-11-24,1997-12-21
117,1995-10-14,1995-11-06
606,1998-01-10,1998-01-26
297,1999-02-09,1999-02-16
348,1995-12-27,1996-01-17
296,1996-07-16,1996-08-12
743,1999-01-08,1999-01-29
155,1998-04-13,1998-05-06
201,1996-04-29,1996-05-24
9,1998-09-06,1998-10-01
550,1999-07-11,1999-08-05
865,1999-12-28,2000-01-13
672,1997-09-22,1997-10-18
35,1999-01-20,1999-02-04
901,1998-03-12,1998-03-22
330,1999-07-07,1999-07-27
445,1997-06-27,1997-07-06
891,2000-07-11,2000-07-18
116,1997-07-03,1997-07-05
482,1998-05-28,1998-06-01
909,1998-07-17,1998-07-29
778,1998-09-27,1998-10-18
101,1998-12-20,1999-01-01
844,1997-08-11,1997-09-03
